Year,Month,Site,Var.1,Var.2,Var.3
2019,2,1,-159.911296,147.8895859,-16.20084439
2019,2,1,231.2069015,-73.3800904,-22.41587759
2019,2,1,132.3595286,20839.06086,-41.63253733
2019,2,1,84.64907264,1060.689842,12.59230061
2019,2,2,25.7963336,151.3802576,-34.50481327
2019,2,2,80.14916044,135.9115907,-8.099687881
2019,2,2,222.9610589,173.9422868,12.00770219
2019,2,2,72.88424952,155.4676765,-12.95645712
2019,2,2,-292.240846,80.18177575,-6.416679629
2019,2,2,-25.62510786,820.831958,16.15507836
2019,2,2,12.24112844,28.58908293,26.77736454
2019,2,2,18.08499429,67.62318368,96.01767653
2019,2,3,35.58514103,66.40312186,-25.07607995
2019,2,3,115.0987775,59.92334834,22.17726677
2019,2,3,22.94938261,400.8970527,-3.089201952
2019,2,3,26.08195379,-15.86947566,0.067156008
2019,2,3,160.1684302,86.1818233,30.22989076
2019,2,3,135.3476925,110.7629384,22.89748328
2019,2,3,47.51247238,-2.009234058,2.635628597
2019,2,3,292.8139303,234.5644991,53.73055742
2019,3,1,165.816004,806.0440758,10.20603745
2019,3,1,12.36451745,499.9828234,-3.857270163
2019,3,1,200.7383081,3871.749771,5.798151456
2019,3,1,-82.26558519,115.8426213,11.49830793
2019,3,1,478.8196966,-160.6911198,-19.060445
2019,3,1,166.1842185,118.6348701,1.533440788
2019,3,1,-116.8957658,-319.6359529,2.510625217
2019,3,1,-1421.482173,31.20118619,12.1688163
2019,3,2,161.4041404,1828.710276,10.18094365
2019,3,2,88.34258841,529.8485489,1.953683293
2019,3,2,-93.08833435,954.0112947,6.364459802
2019,3,2,28.8196555,768.1046403,-5.802694432
2019,3,2,14.85718468,638.4047894,13.75426478
2019,3,2,69.75883287,1114.067201,9.630159726
2019,3,2,92.51588456,560.7362418,-3.147539826
2019,3,2,66.71703495,469.9110067,-3.571813876
2019,3,3,108.1364861,1736.660163,5.208427865
2019,3,3,102.1084973,-309.2412746,-4.985004224
2019,3,3,42.44740211,248.9952706,-5.052683675
2019,3,3,116.3298293,437.4897988,-22.7644936
2019,3,3,120.1988482,186.120849,13.07105291
2019,3,3,77.02975102,149.6994465,18.31314232
2019,3,3,36.11293318,229.8042328,7.496969479
2019,3,3,28.48553862,12549.99537,-29.69301095
2019,4,1,236.0975752,4.329975855,28.08365826
2019,4,1,175.0020712,-68.42730147,-20.88748165
2019,4,1,177.1126745,111.3141983,45.6995026
2019,4,1,220.3661792,354.1063014,152.4605843
2019,4,1,434.7268119,-100.5004403,-44.63268339
2019,4,1,144.7898895,159.7871924,19.66473547
2019,4,1,73.1225602,251.3519224,16.44414515
2019,4,1,297.481989,-17.81848749,51.2241683
2019,4,2,156.6757658,15.28546002,9.552902237
2019,4,2,124.7362481,-1.337914189,27.43127652
2019,4,2,342.759286,136.1911905,-64.91813465
2019,4,2,95.49602874,-170.0011635,18.5990912
2019,4,2,140.5649685,153.0975398,11.67521714
2019,4,2,174.7117608,-175.3438436,18.9107047
2019,4,2,449.1453511,167.540605,22.13346788
2019,4,2,432.4316589,-69.00882561,29.9162901
2019,4,3,86.13729091,588.2405575,8.369274568
2019,4,3,86.86107021,829.696748,31.94054873
2019,4,3,205.5878848,1081.837757,-64.45653877
2019,4,3,162.9037725,385.747886,25.34556293
2019,4,3,529.975104,-125.1150021,47.89401821
2019,4,3,183.1780364,-293.2544858,-19.16061571
2019,4,3,314.6962571,69.67524933,-33.5377762
2019,4,3,332.8981643,86.22008732,-11.10671538
2019,5,1,232.2452108,240.5694945,-41.65496177
2019,5,1,593.2721667,291.8895937,17.68360805
2019,5,1,169.1049729,4792.763623,3.178086843
2019,5,1,NA,-306.284419,36.56701391
2019,5,1,372.5911829,216.3116392,22.98522101
2019,5,1,769.7996722,187.0142309,12.55259344
2019,5,1,66.95072815,-103.5372225,41.83471926
2019,5,1,NA,-27.63183126,13.72113164
2019,5,2,120.6659851,641.7090307,-24.80502722
2019,5,2,143.649021,314.482422,8.700035123
2019,5,2,108.1953999,-27.38906313,-0.829897338
2019,5,2,145.5306292,154.3199617,82.53733261
2019,5,2,111.7586087,253.6897562,16.4969202
2019,5,2,120.8249201,47.58901146,1.394870937
2019,5,2,299.7848057,314.3449822,19.55520355
2019,5,2,173.6384162,419.6763116,35.40386967
2019,5,3,-43.50995013,462.2401281,36.8116414
2019,5,3,190.8920158,2741.921675,-13.82144623
2019,5,3,26.55918298,410.8668839,-13.16665166
2019,5,3,118.0279315,3427.127589,56.94702717
2019,5,3,326.3739192,4628.90041,11.43310718
2019,5,3,489.698078,5402.966872,58.40149583
2019,5,3,284.5675301,4259.905765,35.22778048
2019,5,3,131.7983237,1750.828092,21.48702187
2019,6,1,85.08934174,-19.78552923,11.13950609
2019,6,1,117.3608034,-135.6616948,41.57611869
2019,6,1,212.1921724,2022.636735,24.439885
2019,6,1,89.40433997,-222.9947912,9.727300598
2019,6,1,228.8411829,-79.55292948,-40.30429065
2019,6,1,123.0007316,-86.8106333,2.607637797
2019,6,1,361.3728787,41.1880703,-7.343537024
2019,6,1,36.01130475,43.37981321,77.19789883
